Filename	no.	label	start(ms)	stop(ms)	Duration(ms)
20111215-1-kiy-ap-framedwordlist1	 12 	 fa:2:21:20:1	 138.147 	 138.449 	 302.439
 20111215-1-kiy-ap-framedwordlist1	 13 	 kru:1:21:20:1	 138.449 	 138.849 	 400.077
 20111215-1-kiy-ap-framedwordlist1	 15 	 fa:2:21:20:2	 139.533 	 139.874 	 340.541
 20111215-1-kiy-ap-framedwordlist1	 16 	 kru:1:21:20:2	 139.874 	 140.264 	 390.551
 20111215-1-kiy-ap-framedwordlist1	 18 	 fa:5:51:56:1	 145.680 	 145.938 	 257.431
 20111215-1-kiy-ap-framedwordlist1	 20 	 kru:1:51:56:1	 146.058 	 146.391 	 333.458
 20111215-1-kiy-ap-framedwordlist1	 22 	 fa:5:51:56:2	 147.151 	 147.449 	 297.717
 20111215-1-kiy-ap-framedwordlist1	 24 	 kru:1:51:56:2	 147.562 	 147.897 	 334.642
 20111215-1-kiy-ap-framedwordlist1	 34 	 fa:2:22:21:1	 181.730 	 181.983 	 252.781
 20111215-1-kiy-ap-framedwordlist1	 36 	 fO:2:22:21:1	 182.048 	 182.385 	 336.510
 20111215-1-kiy-ap-framedwordlist1	 38 	 fa:2:22:21:2	 183.033 	 183.263 	 230.703
 20111215-1-kiy-ap-framedwordlist1	 40 	 fO:2:22:21:2	 183.321 	 183.669 	 347.674
 20111215-1-kiy-ap-framedwordlist1	 42 	 fO:3:31:28:1	 189.678 	 189.838 	 160.115
 20111215-1-kiy-ap-framedwordlist1	 44 	 fa:1:31:28:1	 189.905 	 190.270 	 365.217
 20111215-1-kiy-ap-framedwordlist1	 46 	 fO:3:31:28:2	 190.957 	 191.134 	 177.300
 20111215-1-kiy-ap-framedwordlist1	 48 	 fa:1:31:28:2	 191.198 	 191.568 	 370.002
 20111215-1-kiy-ap-framedwordlist1	 50 	 fa:2:22:22:1	 199.491 	 199.691 	 199.856
 20111215-1-kiy-ap-framedwordlist1	 52 	 fo:2:22:22:1	 199.753 	 200.095 	 342.890
 20111215-1-kiy-ap-framedwordlist1	 54 	 fa:2:22:22:2	 200.671 	 200.898 	 226.448
 20111215-1-kiy-ap-framedwordlist1	 56 	 fo:2:22:22:2	 200.989 	 201.383 	 393.924
 20111215-1-kiy-ap-framedwordlist1	 58 	 ndE:1:12:12:1	 210.647 	 210.831 	 183.908
 20111215-1-kiy-ap-framedwordlist1	 60 	 fO:2:12:12:1	 210.891 	 211.331 	 440.175
 20111215-1-kiy-ap-framedwordlist1	 62 	 ndE:1:12:12:2	 211.887 	 212.058 	 170.882
 20111215-1-kiy-ap-framedwordlist1	 64 	 fO:2:12:12:2	 212.119 	 212.553 	 434.801
 20111215-1-kiy-ap-framedwordlist1	 66 	 fa:5:55:63:1	 218.580 	 218.795 	 215.303
 20111215-1-kiy-ap-framedwordlist1	 68 	 tu:5:55:63:1	 218.894 	 219.281 	 386.987
