Filename	no.	label	f0.1	f0.2	f0.3	f0.4	f0.5	f0.6	f0.7	f0.8	f0.9
20111215-1-kiy-ap-framedwordlist1	 12 	 fa:2:21:20:1 	NA	 134.673 	 134.153 	 136.241 	 137.949 	 147.522 	 159.867 	 169.866 	 149.760 
20111215-1-kiy-ap-framedwordlist1	 13 	 kru:1:21:20:1 	NA	 165.541 	 158.444 	 150.504 	 144.523 	 139.216 	 126.270 	 120.340 	NA
20111215-1-kiy-ap-framedwordlist1	 15 	 fa:2:21:20:2 	 135.316 	 125.542 	 121.740 	 123.174 	 128.092 	 140.594 	 150.185 	 157.444 	 143.225 
20111215-1-kiy-ap-framedwordlist1	 16 	 kru:1:21:20:2 	 154.885 	 155.870 	 151.445 	 144.783 	 139.612 	 136.197 	 128.629 	 116.243 	NA
20111215-1-kiy-ap-framedwordlist1	 18 	 fa:5:51:56:1 	 147.026 	 151.229 	 155.423 	 157.324 	 163.695 	 171.379 	 180.648 	 187.507 	 180.399 
20111215-1-kiy-ap-framedwordlist1	 20 	 kru:1:51:56:1 	 156.514 	 151.470 	 145.997 	 142.575 	 136.810 	 132.132 	 125.002 	 118.665 	NA
20111215-1-kiy-ap-framedwordlist1	 22 	 fa:5:51:56:2 	 142.749 	 146.169 	 150.327 	 155.033 	 161.732 	 168.120 	 174.686 	 173.978 	NA
20111215-1-kiy-ap-framedwordlist1	 24 	 kru:1:51:56:2 	 157.224 	 152.042 	 147.815 	 143.262 	 137.778 	 127.840 	 123.954 	 118.514 	NA
20111215-1-kiy-ap-framedwordlist1	 34 	 fa:2:22:21:1 	 137.882 	 136.405 	 137.091 	 139.242 	 142.105 	 150.224 	 165.801 	 177.451 	 153.160 
20111215-1-kiy-ap-framedwordlist1	 36 	 fO:2:22:21:1 	 140.668 	 138.337 	 138.989 	 139.819 	 144.201 	 149.015 	 158.840 	 166.912 	 171.450 
20111215-1-kiy-ap-framedwordlist1	 38 	 fa:2:22:21:2 	 140.305 	 137.773 	 137.603 	 140.018 	 144.889 	 154.098 	 168.764 	 175.659 	 156.597 
