item	word.1	word.2	verb	gloss.1	gloss.2	gloss.verb	tone.1	tone.2
1	kE	ndE	fuwa	ant	centipede	sees	T1	T1
2	kE	fa	fuwa	ant	younger.sibling	sees	T1	T2
3	kE	nO	fuwa	ant	meat	sees	T1	T2
4	kE	fO	fuwa	ant	wallaby	sees	T1	T3
5	kE	fO	fuwa	ant	honeybee	sees	T1	T3
6	kE	ya	fuwa	ant	mother	sees	T1	T5
7	kE	fa	fuwa	ant	sago.grub	sees	T1	T5
8	ndE	kE	fuwa	centipede	ant	sees	T1	T1
9	ndE	fa	fuwa	centipede	younger.sibling	sees	T1	T2
10	ndE	nO	fuwa	centipede	meat	sees	T1	T2
11	ndE	fO	fuwa	centipede	wallaby	sees	T1	T3
12	ndE	fO	fuwa	centipede	honeybee	sees	T1	T3
13	ndE	ya	fuwa	centipede	mother	sees	T1	T5
14	ndE	fa	fuwa	centipede	sago.grub	sees	T1	T5
15	fa	kE	fuwa	younger.sibling	ant	sees	T2	T1
16	fa	ndE	fuwa	younger.sibling	centipede	sees	T2	T1
17	fa	fa	fuwa	younger.sibling	younger.sibling	sees	T2	T2
18	fa	nO	fuwa	younger.sibling	meat	sees	T2	T2
19	fa	fO	fuwa	younger.sibling	wallaby	sees	T2	T3
20	fa	fO	fuwa	younger.sibling	honeybee	sees	T2	T3
21	fa	ya	fuwa	younger.sibling	mother	sees	T2	T5
22	fa	fa	fuwa	younger.sibling	sago.grub	sees	T2	T5
23	fO	kE	fuwa	wallaby	ant	sees	T3	T1
24	fO	ndE	fuwa	wallaby	centipede	sees	T3	T1
25	fO	fa	fuwa	wallaby	younger.sibling	sees	T3	T2
26	fO	nO	fuwa	wallaby	meat	sees	T3	T2
27	fO	fO	fuwa	wallaby	honeybee	sees	T3	T3
28	fO	ya	fuwa	wallaby	mother	sees	T3	T5
29	fO	fa	fuwa	wallaby	sago.grub	sees	T3	T5
30	fO	kE	fuwa	honeybee	ant	sees	T3	T1
31	fO	ndE	fuwa	honeybee	centipede	sees	T3	T1
32	fO	fa	fuwa	honeybee	younger.sibling	sees	T3	T2
33	fO	nO	fuwa	honeybee	meat	sees	T3	T2
34	fO	fO	fuwa	honeybee	wallaby	sees	T3	T3
35	fO	ya	fuwa	honeybee	mother	sees	T3	T5
36	fO	fa	fuwa	honeybee	sago.grub	sees	T3	T5
37	ya	kE	fuwa	mother	ant	sees	T5	T1
38	ya	ndE	fuwa	mother	centipede	sees	T5	T1
39	ya	fa	fuwa	mother	younger.sibling	sees	T5	T2
40	ya	nO	fuwa	mother	meat	sees	T5	T2
41	ya	fO	fuwa	mother	wallaby	sees	T5	T3
42	ya	fO	fuwa	mother	honeybee	sees	T5	T3
43	ya	fa	fuwa	mother	sago.grub	sees	T5	T5
44	fa	kE	fuwa	sago.grub	ant	sees	T5	T1
45	fa	ndE	fuwa	sago.grub	centipede	sees	T5	T1
46	fa	fa	fuwa	sago.grub	younger.sibling	sees	T5	T2
47	fa	nO	fuwa	sago.grub	meat	sees	T5	T2
48	fa	fO	fuwa	sago.grub	wallaby	sees	T5	T3
49	fa	fO	fuwa	sago.grub	honeybee	sees	T5	T3
50	fa	ya	fuwa	sago.grub	mother	sees	T5	T5
51	kE	ndE	kwiya	ant	centipede	carries	T1	T1
52	kE	fa	kwiya	ant	younger.sibling	carries	T1	T2
53	kE	nO	kwiya	ant	meat	carries	T1	T2
54	kE	fO	kwiya	ant	wallaby	carries	T1	T3
