item	word.1	word.2	verb	gloss.1	gloss.2	gloss.verb	tone.1	tone.2	bitone	sent.kiy	sent.eng
1	kE	ndE	fuwa	ant	centipede	sees	T1	T1	T1.T1	kE ndE fuwa.	The ant sees the centipede.
2	kE	fa	fuwa	ant	younger.sibling	sees	T1	T2	T1.T2	kE fa fuwa.	The ant sees the younger.sibling.
3	kE	nO	fuwa	ant	meat	sees	T1	T2	T1.T2	kE nO fuwa.	The ant sees the meat.
4	kE	fO	fuwa	ant	wallaby	sees	T1	T3	T1.T3	kE fO fuwa.	The ant sees the wallaby.
5	kE	fO	fuwa	ant	honeybee	sees	T1	T3	T1.T3	kE fO fuwa.	The ant sees the honeybee.
6	kE	ya	fuwa	ant	mother	sees	T1	T5	T1.T5	kE ya fuwa.	The ant sees the mother.
7	kE	fa	fuwa	ant	sago.grub	sees	T1	T5	T1.T5	kE fa fuwa.	The ant sees the sago.grub.
8	ndE	kE	fuwa	centipede	ant	sees	T1	T1	T1.T1	ndE kE fuwa.	The centipede sees the ant.
9	ndE	fa	fuwa	centipede	younger.sibling	sees	T1	T2	T1.T2	ndE fa fuwa.	The centipede sees the younger.sibling.
10	ndE	nO	fuwa	centipede	meat	sees	T1	T2	T1.T2	ndE nO fuwa.	The centipede sees the meat.
11	ndE	fO	fuwa	centipede	wallaby	sees	T1	T3	T1.T3	ndE fO fuwa.	The centipede sees the wallaby.
12	ndE	fO	fuwa	centipede	honeybee	sees	T1	T3	T1.T3	ndE fO fuwa.	The centipede sees the honeybee.
13	ndE	ya	fuwa	centipede	mother	sees	T1	T5	T1.T5	ndE ya fuwa.	The centipede sees the mother.
14	ndE	fa	fuwa	centipede	sago.grub	sees	T1	T5	T1.T5	ndE fa fuwa.	The centipede sees the sago.grub.
15	fa	kE	fuwa	younger.sibling	ant	sees	T2	T1	T2.T1	fa kE fuwa.	The younger.sibling sees the ant.
16	fa	ndE	fuwa	younger.sibling	centipede	sees	T2	T1	T2.T1	fa ndE fuwa.	The younger.sibling sees the centipede.
